Date,Open,High,Low,Close
1/2/2013,1685.15,1685.15,1674.32,1674.72
1/3/2013,1681.42,1692.65,1681.42,1692.65
1/4/2013,1697.1,1699.68,1687.32,1692.58
1/7/2013,1692.97,1697.37,1691.34,1694.16
1/8/2013,1691.36,1691.7,1682.23,1688.91
1/9/2013,1691.76,1694.21,1688.96,1689.93
1/10/2013,1691.94,1693.72,1684.57,1684.57
1/11/2013,1692.71,1692.71,1682.64,1682.7
1/14/2013,1686.41,1686.69,1682.96,1684.63
1/15/2013,1687.89,1690.19,1683.42,1685.89
1/16/2013,1686.52,1687,1677.98,1682.95
1/17/2013,1686.21,1686.22,1679.02,1681.09
1/18/2013,1682.79,1683.96,1674.69,1676.44
1/21/2013,1676.36,1676.36,1630.99,1635.63
1/22/2013,1627,1628.66,1602.12,1628.66
1/23/2013,1626.76,1637.42,1622.54,1635.25
1/25/2013,1643.19,1643.84,1634.1,1637.13
1/29/2013,1645.02,1646.14,1635.38,1637.34
1/30/2013,1639.19,1640.96,1613.17,1627.73
1/31/2013,1628.13,1631.86,1622.52,1627.55
2/4/2013,1634.54,1639.58,1630.69,1634.55
2/5/2013,1634.65,1637.51,1630.73,1633.35
2/6/2013,1634.02,1634.7,1610.05,1614.14
2/7/2013,1600.09,1621.06,1597,1619.57
2/8/2013,1623.54,1626.99,1613.08,1623.8
2/13/2013,1627.46,1633.71,1627.46,1631.16
2/14/2013,1635.27,1635.55,1630.37,1630.89
2/15/2013,1632.45,1632.56,1624,1627.93
2/18/2013,1629.35,1629.91,1620.93,1620.93
2/19/2013,1622.17,1623.72,1612.66,1615.07
2/20/2013,1617.53,1617.64,1606.73,1613.33
2/21/2013,1609.29,1614.05,1599.94,1614.05
2/22/2013,1617.29,1622.08,1611.7,1622.08
2/25/2013,1621.12,1627.35,1619.97,1627.35
2/26/2013,1624.97,1627.33,1622.47,1624.18
2/27/2013,1625.33,1627.07,1623.92,1624.14
2/28/2013,1625.37,1637.63,1624.79,1637.63
3/1/2013,1636.47,1640.6,1636.47,1637.44
3/4/2013,1638.27,1639.51,1622.81,1635.98
3/5/2013,1637.81,1643.42,1637.81,1642.08
3/6/2013,1641.29,1652.84,1641.29,1651.84
3/7/2013,1656.65,1656.65,1649.17,1650.93
3/8/2013,1650.69,1653.96,1649.91,1653.96
3/11/2013,1652.32,1658.68,1649.99,1657.96
3/12/2013,1661.7,1664.39,1652.67,1656.54
3/13/2013,1653.47,1653.88,1641.74,1646.22
3/14/2013,1645.83,1645.83,1635.87,1640.74
3/15/2013,1641.35,1642.15,1627.64,1627.64
3/18/2013,1625.64,1627.05,1613.94,1621.36
3/19/2013,1621.43,1628.26,1619.71,1625.46
3/20/2013,1622.95,1632.32,1619.3,1631.54
3/21/2013,1632.59,1634.54,1626.28,1630.75
3/22/2013,1630.01,1633.33,1624.35,1626.89
3/25/2013,1630.66,1644.59,1628.54,1643.89
3/26/2013,1651.84,1660.8,1648.54,1652.83
3/27/2013,1655.38,1669.85,1655.38,1667.57
3/28/2013,1669.51,1675.87,1667.91,1674.04
3/29/2013,1680,1681.03,1666.46,1671.63
4/1/2013,1671.88,1671.88,1659.2,1667.61
4/2/2013,1668.83,1685,1668.7,1685
4/3/2013,1688.33,1692.85,1632.28,1685.4
4/4/2013,1680.97,1700.55,1678.18,1688.46
4/5/2013,1686.31,1688.96,1680.17,1688.65
4/8/2013,1691.67,1692.06,1683.59,1687.99
4/9/2013,1688.69,1690.45,1685.61,1690.27
4/10/2013,1688.38,1697.51,1687.91,1696.2
4/11/2013,1697.97,1710.35,1697.97,1707.04
4/12/2013,1708.52,1716.47,1696.67,1698.53
4/15/2013,1698.16,1702.88,1696.95,1697.77
4/16/2013,1695.78,1701.26,1688.7,1700.53
4/17/2013,1702.78,1712.14,1701.85,1710.97
4/18/2013,1710.12,1711.38,1704.29,1706.26
4/19/2013,1706.82,1710.43,1702.6,1706.28
4/22/2013,1703.26,1709.49,1702.47,1706.68
4/23/2013,1706.38,1707.85,1699.74,1700.39
4/24/2013,1700.96,1707.35,1700.96,1707.35
4/25/2013,1702.67,1709.64,1700.25,1706.34
4/26/2013,1706.97,1718.08,1703.34,1711.29
4/29/2013,1709.7,1711.85,1706.29,1707.97
4/30/2013,1710.58,1718.44,1702.83,1717.65
5/2/2013,1715.01,1715.23,1704.97,1713.46
5/3/2013,1711.54,1712.03,1685.28,1694.77
5/6/2013,1771.62,1826.22,1743.14,1752.02
5/7/2013,1760.23,1776.73,1756.95,1776.73
5/8/2013,1781.9,1783.57,1769.17,1774
5/9/2013,1773.79,1776.25,1764.71,1766.07
5/10/2013,1752.26,1772.89,1752.26,1772.38
5/13/2013,1782.89,1789.62,1775.34,1787.9
5/14/2013,1786.15,1793.15,1784.34,1788.43
5/15/2013,1792.63,1793.87,1781.02,1783.03
5/16/2013,1780.49,1781.39,1765.45,1766.72
5/17/2013,1768.55,1773.53,1765.84,1769.16
5/20/2013,1772.99,1781.05,1770.95,1777.15
5/21/2013,1777.31,1787.97,1776.82,1787.38
5/22/2013,1788.61,1795.59,1781.14,1783.88
5/23/2013,1777.56,1786.03,1765.62,1773.06
5/27/2013,1770.12,1771.7,1764.97,1767.13
5/28/2013,1766.45,1779.64,1765.94,1776.16
5/29/2013,1777.74,1786.57,1777.63,1783.47
5/30/2013,1781.17,1781.17,1772.69,1774.92
5/31/2013,1776.7,1780.98,1769.22,1769.22
6/3/2013,1771.55,1773.07,1766.33,1766.33
6/4/2013,1768.78,1776.74,1767.2,1776.74
6/5/2013,1776.19,1778.64,1772.38,1774.42
6/6/2013,1775.35,1777.74,1767.23,1769.6
6/7/2013,1769.86,1778.68,1768.29,1775.59
6/10/2013,1780.17,1792.67,1780.17,1787.8
6/11/2013,1787.81,1792.19,1779.57,1779.57
6/12/2013,1775.8,1777.4,1767.3,1775.12
6/13/2013,1773.68,1774.52,1742.87,1742.87
6/14/2013,1749.41,1762.44,1749.14,1762.19
6/17/2013,1760.4,1773.65,1758.8,1772.17
6/18/2013,1769.58,1774.78,1765.38,1774.05
6/19/2013,1777.26,1782.41,1772.07,1772.88
6/20/2013,1764.17,1766.73,1758.86,1762.34
6/21/2013,1746.74,1762.49,1737.66,1755.85
6/24/2013,1755.76,1756.02,1737.99,1738.19
6/25/2013,1727.73,1743.16,1723.74,1728.64
6/26/2013,1729.68,1744.64,1724.82,1740.76
6/27/2013,1742.9,1753.76,1742.7,1751.57
6/28/2013,1754.46,1773.54,1754.46,1773.54
7/1/2013,1771.98,1775.76,1767.5,1775.14
7/2/2013,1776.39,1777.06,1770.26,1771.89
7/3/2013,1772.42,1776.07,1769.21,1769.21
7/4/2013,1768.82,1774.66,1768.82,1771.34
7/5/2013,1774.41,1778.96,1772.16,1772.27
7/8/2013,1772.87,1774.67,1762.87,1762.87
7/9/2013,1767.02,1769.06,1766.23,1766.49
7/10/2013,1766.67,1771.24,1766.67,1768.71
7/11/2013,1776.55,1781.86,1776.55,1781.15
7/12/2013,1785,1786.98,1781.74,1785.65
7/15/2013,1781.92,1786.67,1781.64,1786.67
7/16/2013,1785.54,1790.4,1784.61,1786.39
7/17/2013,1786.11,1789.48,1784.47,1788.66
7/18/2013,1786.99,1792.36,1786.99,1791.54
7/19/2013,1794.38,1800.26,1794.32,1797.74
7/22/2013,1799.13,1803.31,1797.68,1797.68
7/23/2013,1807.2,1807.27,1801.83,1805.31
7/24/2013,1804.23,1810.71,1804.23,1810
7/25/2013,1810.96,1811.57,1808.04,1808.42
7/26/2013,1806.21,1811.65,1804.98,1807.61
7/29/2013,1807.38,1808.66,1797.88,1798.78
7/30/2013,1799.07,1800.2,1792.77,1795.08
7/31/2013,1791.52,1791.71,1770.44,1772.62
8/1/2013,1775.71,1782.72,1766.7,1777.82
8/2/2013,1781.14,1787.83,1777.84,1782.51
8/5/2013,1786.02,1788.93,1781.61,1785.14
8/6/2013,1780.49,1784.64,1779.47,1784.64
8/7/2013,1784.41,1784.76,1776.99,1779.32
8/12/2013,1779.75,1786.2,1777.87,1784.57
8/13/2013,1784.46,1796.29,1784.46,1795.09
8/14/2013,1799.95,1801.26,1791.46,1793.73
8/15/2013,1792.79,1797.17,1791.23,1792.21
8/16/2013,1789.74,1791.26,1786.76,1788.24
8/19/2013,1774.5,1788.43,1771.65,1778.36
8/20/2013,1773.85,1774.47,1737.58,1745.42
8/21/2013,1743.49,1749.16,1740.61,1744.85
8/22/2013,1727.34,1729.46,1710.17,1720.37
8/23/2013,1724.07,1729.86,1721.07,1721.07
8/26/2013,1722.14,1732.25,1722.14,1722.49
8/27/2013,1718.41,1719.03,1698.89,1701.24
8/28/2013,1687.23,1689.68,1660.39,1686.17
8/29/2013,1685.51,1707.19,1684.08,1703.78
8/30/2013,1708.31,1727.58,1708.31,1727.58
9/2/2013,1723.77,1724.76,1714.95,1717.56
9/3/2013,1718.35,1727.94,1715.98,1724.21
9/4/2013,1725.55,1725.55,1702.57,1716.76
9/5/2013,1719.1,1723.69,1718.56,1720.97
9/6/2013,1719.97,1726.28,1719.83,1723.8
9/9/2013,1726.27,1747.03,1726.27,1747.03
9/10/2013,1753.14,1774.14,1753.14,1764.95
9/11/2013,1769.8,1776.11,1763.05,1768.48
9/12/2013,1777.76,1779.4,1769.75,1772.4
9/13/2013,1768.39,1770.8,1764.13,1770.8
9/17/2013,1777.41,1781.47,1769.12,1774.94
9/18/2013,1772.51,1774.78,1769.69,1771.4
9/19/2013,1790.41,1793.94,1787.38,1792.91
9/20/2013,1796.06,1805.15,1794.89,1801.83
9/23/2013,1795.79,1800.3,1793.28,1796.36
9/24/2013,1790.78,1792.48,1785.41,1792.48
9/25/2013,1788.06,1791.18,1783.15,1784.06
9/26/2013,1784.3,1784.96,1774.16,1774.16
9/27/2013,1775.78,1781.61,1775.35,1776.16
9/30/2013,1775.28,1781.84,1762.3,1768.62
10/1/2013,1766.37,1770.34,1759.66,1769.03
10/2/2013,1769.97,1774.68,1769.45,1770.35
10/3/2013,1770.02,1773.29,1768.15,1771.37
10/4/2013,1771.29,1779.02,1769.77,1776.56
10/7/2013,1778.03,1780.27,1773.56,1776.82
10/8/2013,1773.65,1778.13,1771.32,1777.5
10/9/2013,1774.71,1775.04,1769.12,1769.12
10/10/2013,1769.12,1777.45,1768.64,1775.92
10/11/2013,1788.88,1788.99,1783.53,1785.75
10/14/2013,1775.11,1788.53,1775.11,1784.76
10/16/2013,1787.84,1795.48,1786.1,1791.37
10/17/2013,1801.04,1802.57,1796.1,1797.42
10/18/2013,1798.94,1805,1795.95,1799.59
10/21/2013,1798.92,1803.46,1797.14,1802.61
10/22/2013,1800.85,1808.35,1800.46,1803.58
10/23/2013,1805.64,1817.93,1805.64,1814.11
10/24/2013,1818.75,1822.17,1817.41,1818.93
10/25/2013,1818.6,1820.81,1812.47,1817.57
10/28/2013,1818.44,1821.14,1814.86,1818.39
10/29/2013,1821.22,1821.79,1813.87,1815.65
10/30/2013,1816.96,1818.89,1812.66,1817.38
10/31/2013,1815.14,1815.15,1804.56,1806.85
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
